SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,time(hour),gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
9,10:26:55,9/2/22,Auto gsw+F,LI-COR Default,,9,LCOR-580,10,0.227938,2.916015,0.211412,3.210335,1.964712,1.875154,3.449286,1.484573,18.663546,19.554922,34.330986,0.441786,PSF-00336_20220902102655,0,0,0,124.000313,259.305359,0.521798,0.5,0.8,275.837769,62.54,59.68,24.8,26.37,100.47,156,155.1,0.6,1322,4.099,-11,166,127,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,-0.003,0,0.008,-1.628,-1.248,3.723,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,232.987762,25,-19.890598,226.088409,230.889877,-4.801468,2.478468,2.470148,1.655862,0.927084,0.274923,0.018197,0.14947,1.310466,124.000313,0.00121,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102655,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
10,10:27:39,9/2/22,Auto gsw+F,LI-COR Default,,10,LCOR-407,10,0.280462,2.916351,0.255857,3.391315,1.947683,1.853085,3.244996,1.297313,18.443838,19.385378,32.297596,0.441786,PSF-00336_20220902102739,0,0,0,124.990227,245.89299,0.491689,0.5,0.8,214.295135,61.39,58.41,24.96,25.34,100.47,156,154.3,1.1,1090,4.097,0,167,98,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0.002,0.004,0.014,-2.051,-3.257,-2.128,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,228.237747,25,-13.290195,224.065308,226.906769,-2.841461,2.476719,2.468553,1.656217,0.925087,0.273125,0.003943,0.153898,1.099174,124.990227,0.001235,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102739,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
11,10:28:40,9/2/22,Auto gsw+F,LI-COR Default,,11,LCOR-288,10,0.587806,2.91744,0.489235,4.768394,1.99578,1.862971,2.950769,0.954989,18.545372,19.867453,29.374111,0.441786,PSF-00336_20220902102840,0,0,0,87.44323,269.447906,0.675473,0.5,0.8,137.041885,61.93,57.81,25.22,23.75,100.45,156.2,155.2,0.6,507,4.096,-26,173,109,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,-0.003,-0.001,0.014,0.088,0.13,0.476,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,255.392426,25,-9.497427,260.548706,255.87999,4.668716,2.47585,2.469207,1.657368,0.927389,0.270293,-0.017809,0.159968,0.568742,87.44323,0.001224,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902102840,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
12,10:30:12,9/2/22,Auto gsw+F,LI-COR Default,,12,LCOR-576,10,0.479016,2.919206,0.411494,4.942546,1.981394,1.843894,3.157228,1.175833,18.353821,19.722481,31.426535,0.441786,PSF-00336_20220902103012,0,0,0,96.684692,334.782318,0.711201,0.5,0.8,442.159821,60.36,56.18,25.53,24.88,100.46,156.4,154.9,0.9,1554,4.094,-39,-172,78,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,-0.001,-0.001,0.024,-0.954,-2.184,-17.452,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,306.408752,25,-19.637016,308.897858,306.729095,2.168762,2.473578,2.467001,1.659243,0.926659,0.26698,-0.008294,0.168966,1.522407,96.684692,0.001264,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103012,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
13,10:31:23,9/2/22,Auto gsw+F,LI-COR Default,,13,LCOR-187,10,0.693208,2.916262,0.560076,7.311519,2.039159,1.835422,3.315579,1.27642,18.271364,20.299534,33.006111,0.441786,PSF-00336_20220902103123,0,0,0,206.279755,354.378296,0.417911,0.5,0.8,223.285843,61.54,55.39,25.69,25.7,100.45,156,155.3,0.5,1336,4.093,2,152,115,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0.004,0.002,0.008,-0.774,2.423,-4.044,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,338.433624,25,-11.175805,338.760498,338.412659,0.347839,2.472479,2.468533,1.656122,0.927436,0.265282,-0.000485,0.175635,1.323357,206.279755,0.001206,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103123,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
14,10:32:29,9/2/22,Auto gsw+F,LI-COR Default,,14,LCOR-215,10,0.280164,2.916656,0.255611,4.065413,1.985559,1.872252,3.539265,1.553706,18.63846,19.766445,35.233749,0.441786,PSF-00336_20220902103229,0,0,0,141.745804,264.212067,0.463515,0.5,0.8,259.983368,59.38,56,25.85,26.81,100.45,156.1,155.2,0.5,1402,4.091,-36,152,133,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0.004,0.001,0.006,-1.988,-0.661,12.72,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,243.772385,25,-15.869789,238.412262,241.540665,-3.128403,2.473249,2.465585,1.656538,0.927396,0.263687,0.010912,0.181777,1.383936,141.745804,0.0012,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103229,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
15,10:33:16,9/2/22,Auto gsw+F,LI-COR Default,,15,LCOR-183,10,0.56912,2.917403,0.47622,6.613153,2.057465,1.873382,3.414489,1.357024,18.64864,20.4811,33.989647,0.441786,PSF-00336_20220902103316,0,0,0,146.630646,252.663223,0.41966,0.5,0.8,232.801392,61.06,55.6,25.98,26.2,100.46,156.2,155.2,0.6,1387,4.091,-12,160,126,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0.004,0.002,0.009,-1.088,-3.956,-9.32,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,238.368637,25,-10.455197,236.569046,237.727051,-1.158005,2.472684,2.467812,1.657329,0.927293,0.262328,0.002059,0.186046,1.369917,146.630646,0.001194,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103316,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
16,10:34:56,9/2/22,Auto gsw+F,LI-COR Default,,16,LCOR-465,10,0.494013,2.916534,0.422456,6.935884,2.052678,1.859473,3.655092,1.602414,18.510508,20.433802,36.385365,0.441786,PSF-00336_20220902103456,0,0,0,179.955841,280.842255,0.359228,0.5,0.8,251.353302,60.05,54.4,26.22,27.36,100.46,156.1,153.4,1.7,1749,4.088,-39,-150,70,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:23:43,9/2/22,0.03,0,0.002,0.01,-1.35,-2.82,-6.82,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,266.896606,25,-10.004589,265.885223,266.549805,-0.664581,2.47101,2.466378,1.65641,0.922824,0.259807,0.013047,0.195016,1.700003,179.955841,0.001162,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103456,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
17,10:36:14,9/2/22,Auto gsw+F,LI-COR Default,,17,LCOR-430,10,0.363775,2.917315,0.323443,6.156928,1.995099,1.823599,3.851654,1.856555,18.153532,19.860775,38.342377,0.441786,PSF-00336_20220902103614,0,0,0,179.49057,282.951172,0.365648,0.5,0.8,254.370361,58.08,53.09,26.3,28.26,100.45,156.2,154.9,0.8,1739,4.086,-40,171,105,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,0.003,-0.002,-0.001,-1.991,-4.233,-10.919,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,268.212677,25,-10.652225,267.532104,267.733521,-0.201416,2.469224,2.463559,1.657236,0.926584,0.258946,0.022949,0.201916,1.690817,179.49057,0.001135,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103614,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
18,10:37:15,9/2/22,Auto gsw+F,LI-COR Default,,18,LCOR-246,10,0.430215,2.916064,0.374904,5.69476,2.044431,1.885751,3.527792,1.48336,18.774803,20.35465,35.123199,0.441786,PSF-00336_20220902103715,0,0,0,116.697906,248.698135,0.530765,0.5,0.8,272.003967,59.32,54.71,26.36,26.75,100.44,156,155.1,0.6,1281,4.084,-11,165,120,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,0.001,0,0.01,-1.335,-2.411,-10.265,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,229.404694,25,-13.46898,227.710602,229.456497,-1.745895,2.471388,2.46521,1.655914,0.927083,0.258352,0.004071,0.207106,1.273684,116.697906,0.001134,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103715,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
19,10:38:13,9/2/22,Auto gsw+F,LI-COR Default,,19,LCOR-389,10,0.256061,2.916675,0.235395,4.171458,2.024591,1.90839,3.753284,1.728693,19.000488,20.157415,37.368793,0.441786,PSF-00336_20220902103813,0,0,0,129.782074,234.641907,0.446893,0.5,0.8,248.998947,58.3,54.95,26.49,27.81,100.44,156.1,155.2,0.6,1393,4.083,-19,147,135,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,-0.002,-0.001,0.008,-1.363,-3.832,-8.651,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,219.081039,25,-11.223237,216.949585,218.608521,-1.658936,2.471671,2.463793,1.656559,0.927242,0.25703,0.015281,0.212007,1.375471,129.782074,0.001151,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103813,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
20,10:39:27,9/2/22,Auto gsw+F,LI-COR Default,,20,LCOR-413,10,0.203631,2.917132,0.190344,3.341798,1.993451,1.900366,3.706784,1.713333,18.920547,19.847336,36.905735,0.441786,PSF-00336_20220902103927,0,0,0,113.323685,291.069946,0.610665,0.5,0.8,279.952576,56.94,54.28,26.62,27.6,100.44,156.1,154.2,1.3,1146,4.082,-28,143,138,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,0.004,-0.001,0.017,0.196,0.739,1.273,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,255.12027,25,-25.589785,249.212265,254.512665,-5.3004,2.470739,2.46192,1.657042,0.924747,0.255647,0.011051,0.218035,1.150642,113.323685,0.001108,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902103927,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
21,10:40:17,9/2/22,Auto gsw+F,LI-COR Default,,21,LCOR-567,10,0.40221,2.916198,0.35346,5.430034,2.033092,1.881796,3.533257,1.500165,18.736597,20.243017,35.179806,0.441786,PSF-00336_20220902104017,0,0,0,121.154312,311.059998,0.610511,0.5,0.8,304.550873,57.82,53.52,26.7,26.78,100.43,156,152.3,2.4,1247,4.08,-7,169,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,-0.004,-0.003,-0.01,0.516,0.591,-2.699,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,281.964172,25,-20.277353,280.002594,282.09201,-2.089417,2.469689,2.463085,1.656055,0.920053,0.254886,0.000292,0.222135,1.242648,121.154312,0.001118,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902104017,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
22,10:41:10,9/2/22,Auto gsw+F,LI-COR Default,,22,LCOR-478,10,0.497932,2.918021,0.42535,6.457079,2.025244,1.845551,3.508102,1.482858,18.373241,20.162167,34.924648,0.441786,PSF-00336_20220902104110,0,0,0,151.586655,266.727814,0.43168,0.5,0.8,258.325806,57.27,52.19,26.8,26.66,100.45,156.2,154.7,1,1496,4.08,1,155,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:35:31,9/2/22,0.13,0.008,0.005,0.018,-2.405,-3.796,-3.366,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,250.289444,25,-12.040534,247.896912,249.52684,-1.629929,2.467877,2.462315,1.657984,0.925959,0.253912,-0.002324,0.226437,1.469378,151.586655,0.001109,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902104110,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
